trade_date,exp_date,underlying,dte_entry,spot_entry,iv_atm_entry,iv_atm_pct,vix_entry,exit_method,short_put,short_call,delta_put,delta_call,mid_put_entry,mid_call_entry,total_credit,checkpoint_date,spot_21dte,mid_put_21dte,mid_call_21dte,pnl_pts_21dte,pnl_usd_21dte,spot_exit,put_cost_exp,call_cost_exp,pnl_points,pnl_usd,in_range,result
2025-05-02,2025-06-13,RUT,42,2020.74,0.240521,24.05,,reinvestment,1845.0,2160.0,-0.1577,0.2028,17.65,15.75,33.4,,,,,,,2100.51,0.0,0.0,33.4,3340.0,True,WIN
2025-05-30,2025-07-11,RUT,42,2066.29,0.209607,20.96,,reinvestment,1905.0,2210.0,-0.1629,0.157,17.15,9.9,27.05,,,,,,,2234.83,0.0,24.8301,2.2199,221.99,False,WIN
2025-06-27,2025-08-08,RUT,42,2172.53,0.206234,20.62,,reinvestment,2015.0,2340.0,-0.1597,0.1565,16.0,11.45,27.45,,,,,,,2218.42,0.0,0.0,27.45,2745.0,True,WIN
2025-07-25,2025-09-05,RUT,42,2261.07,0.203455,20.35,,reinvestment,2095.0,2425.0,-0.16,0.1601,16.95,11.7,28.65,,,,,,,2391.05,0.0,0.0,28.65,2865.0,True,WIN
2025-08-22,2025-10-03,RUT,42,2361.95,0.207569,20.76,,reinvestment,2195.0,2495.0,-0.16,0.2404,17.0,21.75,38.75,,,,,,,2476.18,0.0,0.0,38.75,3875.0,True,WIN
2025-09-19,2025-10-31,RUT,42,2488.77,0.199362,19.94,,reinvestment,2295.0,2645.0,-0.1582,0.1631,19.4,11.55,30.95,,,,,,,2479.38,0.0,0.0,30.95,3095.0,True,WIN
2025-10-17,2025-11-28,RUT,42,2452.17,0.234385,23.44,,reinvestment,2250.0,2645.0,-0.1598,0.1579,20.75,13.4,34.15,,,,,,,2500.43,0.0,0.0,34.15,3415.0,True,WIN
2025-11-14,2025-12-26,RUT,42,2388.23,0.230711,23.07,,reinvestment,2195.0,2575.0,-0.1612,0.1607,20.15,13.4,33.55,,,,,,,2534.35,0.0,0.0,33.55,3355.0,True,WIN
2025-12-19,2026-01-30,RUT,42,2529.43,0.179251,17.93,,reinvestment,2370.0,2690.0,-0.1624,0.1614,16.65,11.65,28.3,,,,,,,2613.74,0.0,0.0,28.3,2830.0,True,WIN
2026-01-16,2026-02-27,RUT,42,2677.74,0.18509,18.51,,reinvestment,2500.0,2855.0,-0.1598,0.1586,18.0,12.45,30.45,,,,,,,2632.36,0.0,0.0,30.45,3045.0,True,WIN
2026-02-13,2026-03-27,RUT,42,2646.7,0.236397,23.64,,reinvestment,2420.0,2850.0,-0.16,0.1583,23.4,14.2,37.6,,,,,,,2449.7,0.0,0.0,37.6,3760.0,True,WIN
2026-03-13,2026-04-24,RUT,42,2480.05,0.302059,30.21,,reinvestment,2210.0,2710.0,-0.1583,0.1603,28.1,16.3,44.4,,,,,,,2480.05,0.0,0.0,44.4,4440.0,True,WIN
